%% ----------- Irrigation schedule time-series for AquaCropOS ---------- %%										
Day	Month	Year	Irrigation(mm)							
6	9	2021	32							
7	9	2021	3							
13	9	2021	7							
22	9	2021	5							
23	9	2021	5							
30	9	2021	8							
4	10	2021	3							
6	10	2021	5							
11	10	2021	4							
14	10	2021	5							
18	10	2021	9							
20	10	2021	9							
24	10	2021	7							
27	10	2021	5							
1	11	2021	7							
8	11	2021	9							
11	11	2021	10							
14	11	2021	3							
22	11	2021	4							
25	11	2021	15							
1	12	2021	7							
4	12	2021	8							
8	12	2021	11							
14	12	2021	9							
