%% ----------- Irrigation schedule time-series for AquaCropOS ---------- %%							
Day	Month	Year	Irrigation(mm)				
6	9	2021	31.54140947				
7	9	2021	2.779063786				
27	9	2021	2.413580247				
28	9	2021	4.052469136				
4	10	2021	4.332098765				
6	10	2021	9.518904321				
11	10	2021	4.108024691				
14	10	2021	6.938657407				
18	10	2021	12.29513889				
27	10	2021	12.21373457				
6	11	2021	5.80941358				
14	11	2021	7.572222222				
16	10	2021	19.21682099				
4	12	2021	11.5941358				
12	12	2021	16.15200617				
