%% ----------- Irrigation schedule time-series for AquaCropOS ---------- %%													
Day	Month	Year	Irrigation(mm)										
6	9	2021	31.54140947										
7	9	2021	2.779063786										
13	9	2021	7.00617284										
22	9	2021	5.049382716										
23	9	2021	4.959876543										
30	9	2021	7.863425926										
4	10	2021	3.074845679										
6	10	2021	4.787808642										
11	10	2021	4.108024691										
14	10	2021	4.541666667										
18	10	2021	8.907664609										
20	10	2021	9.141203704										
24	10	2021	6.749228395										
27	10	2021	4.700617284										
1	11	2021	7.392746914										
8	11	2021	9.117283951										
11	11	2021	10.25385802										
14	11	2021	3.277006173										
22	11	2021	3.743055556										
25	11	2021	15.20601852										
1	12	2021	7.189814815										
4	12	2021	7.599537037										
8	12	2021	10.56018519										
14	12	2021	9.048611111										
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
