Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)
1	1	2011	13	18	0	1.6
2	1	2011	11	19	0	1.9
3	1	2011	11	20	0	2.1
4	1	2011	10	20	0	2.2
5	1	2011	12	20	0	2
6	1	2011	11	19	0	2
7	1	2011	10	19	0	2
8	1	2011	11	18	0	1.8
9	1	2011	9	19	0.03	2.1
10	1	2011	10	19	0.01	2.1
11	1	2011	11	20	0.04	2.1
12	1	2011	10	20	0.19	2.2
13	1	2011	12	19	0.07	1.9
14	1	2011	11	18	0	1.9
15	1	2011	11	16	0	1.6
16	1	2011	12	19	0	1.9
17	1	2011	12	16	0	1.5
18	1	2011	11	18	0	1.9
19	1	2011	10	19	0	2.1
20	1	2011	10	20	0	2.3
21	1	2011	10	21	0	2.4
22	1	2011	9	20	0	2.4
23	1	2011	10	20	0	2.3
24	1	2011	10	19	0	2.2
25	1	2011	10	19	0	2.2
26	1	2011	12	21	0	2.3
27	1	2011	14	21	0	2.2
28	1	2011	11	24	0.01	2.9
29	1	2011	17	23	0.15	2.2
30	1	2011	14	21	0.65	2.2
31	1	2011	12	19	0.08	2.1
1	2	2011	14	21	0.05	2.2
2	2	2011	12	19	0	2.1
3	2	2011	12	26	0.01	3.3
4	2	2011	17	23	0	2.3
5	2	2011	14	17	0.1	1.5
6	2	2011	15	21	0.02	2.2
7	2	2011	13	19	0.05	2
8	2	2011	11	19	0	2.3
9	2	2011	11	19	0.05	2.3
10	2	2011	13	18	0	1.9
11	2	2011	12	20	0.17	2.4
12	2	2011	11	19	0	2.3
13	2	2011	12	20	0	2.4
14	2	2011	11	21	1.31	2.7
15	2	2011	15	24	0.85	2.8
16	2	2011	14	20	0.98	2.2
17	2	2011	11	22	1.92	2.9
18	2	2011	14	25	1.67	3.2
19	2	2011	17	23	0.7	2.4
20	2	2011	14	21	0.61	2.5
21	2	2011	13	22	0	2.8
22	2	2011	14	24	0	3.1
23	2	2011	15	26	0	3.4
24	2	2011	13	25	0	3.4
25	2	2011	14	20	0	2.3
26	2	2011	11	20	0	2.7
27	2	2011	12	21	0	2.8
28	2	2011	13	21	0.02	2.7
1	3	2011	11	21	0.05	2.9
2	3	2011	11	23	0.23	3.3
3	3	2011	11	24	0.04	3.5
4	3	2011	14	25	0.11	3.4
5	3	2011	13	27	0	4
6	3	2011	16	29	0.03	4.1
7	3	2011	14	22	0.03	2.9
8	3	2011	13	22	1.42	3
9	3	2011	10	17	0.03	2.4
10	3	2011	9	16	0.18	2.3
11	3	2011	8	18	0.16	2.8
12	3	2011	8	19	0.09	3
13	3	2011	10	21	0.57	3.2
14	3	2011	10	22	0.09	3.4
15	3	2011	10	24	0	3.9
16	3	2011	11	26	0.05	4.2
17	3	2011	10	27	0	4.5
18	3	2011	11	30	0.01	5.1
19	3	2011	15	30	0.09	4.7
20	3	2011	17	26	0	3.6
21	3	2011	15	24	0	3.4
22	3	2011	13	23	0	3.5
23	3	2011	14	21	0	2.9
24	3	2011	13	19	0	2.6
25	3	2011	12	21	0	3.2
26	3	2011	11	22	0	3.5
27	3	2011	12	23	0	3.7
28	3	2011	12	23	0	3.7
29	3	2011	12	24	0	3.9
30	3	2011	12	25	0	4.1
31	3	2011	13	28	0	4.7
1	4	2011	15	35	0	6.2
2	4	2011	18	24	0	3.1
3	4	2011	13	24	0	3.9
4	4	2011	14	21	0	3
5	4	2011	12	22	0	3.6
6	4	2011	13	23	0	3.7
7	4	2011	15	27	0.01	4.4
8	4	2011	17	25	0	3.6
9	4	2011	16	24	0.14	3.5
10	4	2011	16	29	0.01	4.8
11	4	2011	18	29	0	4.5
12	4	2011	15	23	0	3.5
13	4	2011	12	23	0	3.9
14	4	2011	13	27	0	4.7
15	4	2011	19	33	0	5.5
16	4	2011	25	37	0	5.7
17	4	2011	25	38	0.01	6
18	4	2011	28	37	0.02	5.2
19	4	2011	18	26	0	3.8
20	4	2011	15	24	0	3.8
21	4	2011	15	21	0.01	3
22	4	2011	14	24	0	4
23	4	2011	14	25	0.08	4.2
24	4	2011	15	25	0.22	4.1
25	4	2011	14	25	0.22	4.3
26	4	2011	15	29	0	5.2
27	4	2011	18	30	0	5
28	4	2011	22	31	0	4.6
29	4	2011	18	28	0	4.5
30	4	2011	18	26	0	3.9
1	5	2011	16	30	0	5.4
2	5	2011	24	38	0.09	6.4
3	5	2011	18	33	2.09	5.9
4	5	2011	26	37	1.62	5.8
5	5	2011	22	35	2.16	5.9
6	5	2011	19	28	0.26	4.4
7	5	2011	17	26	0	4.2
8	5	2011	16	26	0.18	4.4
9	5	2011	16	28	0.01	4.9
10	5	2011	16	28	0.09	4.9
11	5	2011	18	32	0	5.7
12	5	2011	18	27	0	4.3
13	5	2011	18	27	0	4.3
14	5	2011	17	25	0	4
15	5	2011	17	27	0	4.5
16	5	2011	17	27	0	4.5
17	5	2011	17	29	0	5.1
18	5	2011	18	30	0	5.2
19	5	2011	19	35	0	6.5
20	5	2011	20	34	0	6.1
21	5	2011	19	30	0	5.1
22	5	2011	18	31	0.07	5.5
23	5	2011	18	33	0.1	6.1
24	5	2011	20	34	0	6.1
25	5	2011	21	37	0	6.8
26	5	2011	23	39	0	7.1
27	5	2011	26	37	0	6
28	5	2011	22	32	0.01	5.2
29	5	2011	20	30	0.13	4.9
30	5	2011	22	32	0.04	5.2
31	5	2011	21	32	0.39	5.4
1	6	2011	21	32	0	5.4
2	6	2011	19	31	0	5.4
3	6	2011	19	33	0	6
4	6	2011	20	33	0	5.9
5	6	2011	20	34	0	6.2
6	6	2011	21	34	0	6
7	6	2011	21	35	0	6.3
8	6	2011	22	36	0	6.4
9	6	2011	24	38	0	6.7
10	6	2011	27	40	0	6.8
11	6	2011	22	33	0	5.5
12	6	2011	22	33	0	5.5
13	6	2011	21	32	0	5.4
14	6	2011	21	31	0	5.1
15	6	2011	22	32	0	5.2
16	6	2011	22	34	0	5.8
17	6	2011	22	32	0	5.2
18	6	2011	21	31	0	5.1
19	6	2011	22	32	0	5.2
20	6	2011	22	33	0	5.5
21	6	2011	22	35	0	6.1
22	6	2011	22	35	0	6.1
23	6	2011	23	36	0	6.3
24	6	2011	23	34	0	5.6
25	6	2011	22	35	0	6.1
26	6	2011	23	35	0	6
