Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)	Ts	Tsf
1	9	2021	22.6	34.1	0	3	30.31366	34.74963542
2	9	2021	21.8	34.3	0	3.1	30.09418	34.74963542
3	9	2021	22	34.3	0	2.7	30.16734	34.74963542
4	9	2021	21.2	33.5	0	2.4	29.58206	34.74963542
5	9	2021	23	33.2	0	2.6	30.13076	34.74963542
6	9	2021	21.7	33.6	0	2.7	29.80154	34.75
7	9	2021	21.7	33.7	0	2.3	29.83812	37.76
8	9	2021	22.7	37.9	0	2.5	31.74028	35.63
9	9	2021	23	34.1	0	2.6	30.62636073	35.39
10	9	2021	21.3	32.7	0	2.5	29.09380051	34.67
11	9	2021	21.5	31.4	0	2.5	29.10661097	33.25
12	9	2021	21.2	33	0	2.2	30.90472569	36.2
13	9	2021	23.9	40.8	0	2.9	30.82243341	34.85
14	9	2021	22.5	37.7	0	2.3	30.63749435	34.14
15	9	2021	22.8	33	0	2.5	31.36662743	32.79409
16	9	2021	22	31.7	0	2.2	30.84034789	34.683835
17	9	2021	20.9	31.8	0	2.5	30.67479956	34.8292
18	9	2021	20.6	32	0	2.6	30.88921402	34.393105
19	9	2021	20.4	33.4	0	2.8	31.01824958	34.09
20	9	2021	22.1	35.6	0	2.8	31.89041667	34.42
21	9	2021	22.4	35.6	0	2.8	32.18875	34.44
22	9	2021	22.2	34.9	0	2.9	32.09895833	33.12
23	9	2021	21.3	34.3	0	2.4	29.71021739	31.4
24	9	2021	19.7	29.3	0	2	28.77354167	31.39
25	9	2021	23.3	34.9	0	2.8	28.034375	31.88
26	9	2021	19	29.7	0	2.1	30.93666667	31.06
27	9	2021	19.2	29.8	0	2.2	29.14708333	30.71
28	9	2021	19.7	31.2	0	1.8	29.08325	29.69
29	9	2021	19.4	31.7	0	2	28.26518	31
30	9	2021	20.9	31.3	0	2.2	28.99733333	32.01
1	10	2021	19.5	30	0	2.2	27.6799	31.37
2	10	2021	18.3	29.1	0	2	26.91172	31.07
3	10	2021	19.4	28.9	0	2.2	27.49479167	29.49
4	10	2021	18.4	29.2	0	2.1	26.51966667	29.89
5	10	2021	17.7	32.9	0	2.1	28.08228	29.98
6	10	2021	17.9	29	0	2	26.72882	30.66
7	10	2021	17.5	29	0	2	26.5825	31.05
8	10	2021	18.6	29.2	0	2.2	27.05804	31.68
9	10	2021	18.3	29.7	0	2.4	27.528125	31.49
10	10	2021	18.5	30.9	0	2.6	27.02565217	31.78
11	10	2021	19.1	31.1	0	2.1	27.00541667	31.78
