Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)
1	1	2016	9.76681796	18.77390913	2.263636364	2.463636364
2	1	2016	9.691364635	19.41273082	0.47	2.563636364
3	1	2016	9.347542503	19.17136452	0.099090909	2.554545455
4	1	2016	9.681815408	19.56045255	0.008181818	2.590909091
5	1	2016	9.475363992	21.09763683	0.986363636	2.818181818
6	1	2016	10.33654508	20.81499967	1.629090909	2.745454545
7	1	2016	9.501731178	18.44372836	0.035454545	2.463636364
8	1	2016	9.112546054	17.93726973	0.129090909	2.427272727
9	1	2016	8.214455344	18.7603621	0.048181818	2.627272727
10	1	2016	9.056180086	20.5557251	0.036363636	2.845454545
11	1	2016	9.988911022	19.3153631	0.240909091	2.563636364
12	1	2016	8.854639227	19.66700328	0.282727273	2.709090909
13	1	2016	9.652909713	20.8380016	0.344545455	2.827272727
14	1	2016	10.73945202	21.34790871	0.342727273	2.863636364
15	1	2016	10.00563466	20.10827359	0.248181818	2.709090909
16	1	2016	9.310544101	20.17100109	0.037272727	2.772727273
17	1	2016	9.548728249	20.63709051	0.03	2.827272727
18	1	2016	9.561273748	21.06445035	0.001818182	2.927272727
19	1	2016	9.837907272	21.23117898	0.024545455	2.945454545
20	1	2016	9.300908869	21.92936568	0.027272727	3.1
21	1	2016	10.00968519	22.55636597	0.085454545	3.154545455
22	1	2016	10.61945135	22.96109009	0.131818182	3.181818182
23	1	2016	11.51591075	22.82218239	0.010909091	3.109090909
24	1	2016	11.38190807	21.15145597	0.124545455	2.845454545
25	1	2016	10.91654552	22.02899725	0.172727273	3.045454545
26	1	2016	11.81636463	23.59173029	0.094545455	3.263636364
27	1	2016	11.17472701	21.05927346	0.25	2.9
28	1	2016	10.47954767	20.87935847	0.035454545	2.927272727
29	1	2016	10.27363448	20.71690785	0.044545455	2.945454545
30	1	2016	10.76699829	21.99272849	0.118181818	3.118181818
31	1	2016	10.71081543	21.22645708	0.179090909	3.018181818
1	2	2016	10.50681652	20.78299783	0.102727273	2.972727273
2	2	2016	10.54018055	21.4764543	0.065454545	3.1
3	2	2016	10.71673029	22.86999789	0.059090909	3.309090909
4	2	2016	10.93345503	23.62072477	0.23	3.427272727
5	2	2016	11.36845259	23.0134527	0.126363636	3.309090909
6	2	2016	11.57645486	24.06545743	0.095454545	3.5
7	2	2016	11.4897239	23.0910922	0.371818182	3.354545455
8	2	2016	11.12382091	22.34191062	0.787272727	3.290909091
9	2	2016	10.85708896	22.11118109	1.564545455	3.281818182
10	2	2016	11.41781616	22.19572865	1.268181818	3.245454545
11	2	2016	11.16326904	23.44818393	0.13	3.536363636
12	2	2016	11.04509111	24.0494579	0.001818182	3.663636364
13	2	2016	11.6918224	23.24027322	0.06	3.463636364
14	2	2016	12.14281949	24.41554676	0.190909091	3.645454545
15	2	2016	13.43872625	25.24672907	0.101818182	3.709090909
16	2	2016	12.37309126	25.05690696	0.196363636	3.8
17	2	2016	12.24663752	24.01317804	0.512727273	3.636363636
18	2	2016	12.13645519	22.48463301	0.306363636	3.4
19	2	2016	11.34509277	20.90627219	0.263636364	3.154545455
20	2	2016	10.65854437	22.12436191	0.103636364	3.463636364
21	2	2016	11.22363836	23.80427413	0.025454545	3.727272727
22	2	2016	12.99945623	25.54236395	0.086363636	3.9
23	2	2016	13.60372925	24.28890991	0.024545455	3.645454545
24	2	2016	12.37999933	23.56390936	0.253636364	3.627272727
25	2	2016	11.92636108	22.88863858	0.513636364	3.581818182
26	2	2016	11.79918046	23.66309149	0.391818182	3.763636364
27	2	2016	12.08772972	23.94472434	0.9	3.790909091
28	2	2016	12.91027277	25.12254472	0.038181818	3.981818182
1	3	2016	12.9504561	25.91254494	0.328181818	4.145454545
2	3	2016	13.25763772	25.36836381	0.114545455	4.009090909
3	3	2016	12.95390736	24.35208962	0.264545455	3.854545455
4	3	2016	13.66527488	25.30709007	0.165454545	4
5	3	2016	14.10481956	25.99818282	0.103636364	4.127272727
6	3	2016	13.27563477	25.38654674	0.291818182	4.109090909
7	3	2016	12.18581876	25.74272572	0.404545455	4.290909091
8	3	2016	14.46436379	27.40836404	0.309090909	4.436363636
9	3	2016	14.75918024	26.65727095	0.36	4.281818182
10	3	2016	14.04690829	26.59281783	0.126363636	4.354545455
11	3	2016	14.03463745	27.39227295	0.043636364	4.545454545
12	3	2016	14.87400124	26.71863625	0.015454545	4.327272727
13	3	2016	13.55872692	24.604728	0.086363636	4.009090909
14	3	2016	12.86109231	25.3788147	0.075454545	4.290909091
15	3	2016	13.49354414	25.84954834	0.200909091	4.354545455
16	3	2016	12.79582076	25.19799805	0.117272727	4.309090909
