Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)	Ts(C)	Tsf(C)
21	5	2016	13.85	21.06	4.4	2.69	-999	-999
22	5	2016	11.61	24.93	0	5.2	-999	-999
23	5	2016	16	27.51	0	6.94	29	31
24	5	2016	12.18	22.66	0.099	4.41	-999	-999
25	5	2016	12.23	21.71	0	4.9	-999	-999
26	5	2016	10.47	22.26	0	4.88	-999	-999
27	5	2016	12.39	24.07	0	5.05	-999	-999
28	5	2016	14.08	26.49	0	5.72	-999	-999
29	5	2016	15.77	30.9	0	6.66	-999	-999
30	5	2016	18.68	30.13	0	5.88	-999	-999
31	5	2016	16.01	26.45	0	5.66	-999	-999
1	6	2016	15.2	23.02	0	2.22	-999	-999
2	6	2016	13.14	24.36	2.3	4.46	-999	-999
3	6	2016	13.26	22.51	0	4.27	-999	-999
4	6	2016	13.58	24.03	0	5.16	-999	-999
5	6	2016	14.86	25.54	0	4.21	-999	-999
6	6	2016	14.49	24.66	0	5.07	-999	-999
7	6	2016	16.49	24.36	0	5.23	-999	-999
8	6	2016	15.03	25.58	0	5.54	-999	-999
9	6	2016	15.81	25.74	0.594	3.5	-999	-999
10	6	2016	14.46	27.13	0.198	3.24	-999	-999
11	6	2016	16.07	28.38	0.099	5.11	-999	-999
12	6	2016	18.77	29.92	1.5	4.54	-999	-999
13	6	2016	15.51	25.1	9.6	4.5	-999	-999
14	6	2016	14.44	27.08	0.297	5.11	-999	-999
15	6	2016	13.86	29.92	0	5.92	-999	-999
16	6	2016	21.5	29.9	0	6.1	-999	-999
17	6	2016	20.76	32.02	0	5.58	-999	-999
18	6	2016	18.22	27.72	0	5.85	-999	-999
19	6	2016	13.39	23.74	4.06	2.31	-999	-999
20	6	2016	11.76	25.81	0	5.4	-999	-999
21	6	2016	14.95	25.26	0	3.88	-999	-999
22	6	2016	16.15	30.16	0	5.87	-999	-999
23	6	2016	20.69	30.31	0	6.06	-999	-999
24	6	2016	19.67	30.82	0	5.22	-999	-999
25	6	2016	19.52	31.45	0	6.04	-999	-999
26	6	2016	19.93	33.11	0	5.52	-999	-999
27	6	2016	19.91	32.91	0	5.46	-999	-999
28	6	2016	20.16	28.39	0	6.96	-999	-999
29	6	2016	16.57	28.03	0	6.19	-999	-999
30	6	2016	15.37	30.35	0	5.97	-999	-999
1	7	2016	18.31	30.41	0	5.77	-999	-999
2	7	2016	18.03	32.45	0	5.94	-999	-999
3	7	2016	21.13	32.79	0	6.23	-999	-999
4	7	2016	20.98	31.09	0	6.33	-999	-999
5	7	2016	19.42	30.43	0	6.03	-999	-999
6	7	2016	20.15	30.82	0.198	4.93	-999	-999
7	7	2016	18.04	30.89	0	6.08	-999	-999
8	7	2016	17.98	31.76	0	6.08	-999	-999
9	7	2016	20.32	33.5	0	6.24	-999	-999
10	7	2016	21.06	32.31	0	5.83	-999	-999
11	7	2016	20.96	32.26	0	6.02	-999	-999
12	7	2016	21.77	35.62	0	6.81	-999	-999
13	7	2016	24.23	36.33	0	7.38	-999	-999
14	7	2016	22.35	34.7	0	6.69	-999	-999
15	7	2016	16.16	28.05	6.4	4.37	-999	-999
16	7	2016	15.35	22.48	10.89	2.73	-999	-999
17	7	2016	15.46	25.05	0.3	4.89	-999	-999
18	7	2016	15.81	28.26	0	6.2	-999	-999
19	7	2016	17.91	29.26	0	6.48	-999	-999
20	7	2016	19.15	28.31	0	6.21	-999	-999
21	7	2016	16.87	31.94	0	5.98	-999	-999
22	7	2016	19.4	34.29	0	6.58	-999	-999
23	7	2016	19.93	32.7	0	5.89	-999	-999
24	7	2016	18.52	32.97	0	6.13	-999	-999
25	7	2016	19.13	30.77	0.7	4.83	-999	-999
26	7	2016	19.93	30.5	0	4.79	-999	-999
27	7	2016	18.67	31.24	0	5.63	-999	-999
28	7	2016	20.16	31	0.099	4.99	-999	-999
29	7	2016	19.2	31.09	0	5.75	-999	-999
30	7	2016	18.13	32.16	0	5.89	-999	-999
31	7	2016	19.42	33.4	0	5.97	-999	-999
1	8	2016	23.64	35.47	0	6.6	-999	-999
2	8	2016	21.98	29.26	0	6.07	-999	-999
3	8	2016	20.87	29.26	0	6	-999	-999
4	8	2016	18.1	30.41	0	5.56	-999	-999
5	8	2016	18.69	34.78	0	6.29	-999	-999
6	8	2016	19.94	31.33	26.63	4.12	-999	-999
7	8	2016	19.38	25.81	46.73	3.39	-999	-999
8	8	2016	20.28	27.42	0.396	4.72	-999	-999
9	8	2016	19.25	29.06	0	5.17	-999	-999
10	8	2016	18.98	31.25	0	5.44	-999	-999
11	8	2016	19.96	27.47	0.198	4.29	-999	-999
12	8	2016	17.34	24.98	0	5.21	-999	-999
13	8	2016	15.62	25.02	0	5.15	-999	-999
14	8	2016	13.8	26.6	0	4.72	-999	-999
15	8	2016	15.29	27.48	0	4.77	-999	-999
16	8	2016	15.74	30.02	0	4.97	-999	-999
17	8	2016	18.23	30.87	0.099	3.14	-999	-999
18	8	2016	18.89	28.65	0	3.76	-999	-999
19	8	2016	18.23	29.05	0	4.41	-999	-999
20	8	2016	18.98	29.85	0	4.82	-999	-999
21	8	2016	18.13	31.08	0	4.78	-999	-999
