Year      Month     Day       SimDay    Season    GDD            TotGDD         Zr             CC             CCPot          Bio            BioPot         HI             HIadj          Yield          
2016      5         23        1         1         12.96          12.96          0.25           0.00           0.00           0.00           0.00           0.00           0.00           0.00           
2016      5         24        2         1         8.93           21.89          0.25           0.00           0.00           0.00           0.00           0.00           0.00           0.00           
2016      5         25        3         1         8.50           30.39          0.25           0.00           0.00           0.00           0.00           0.00           0.00           0.00           
2016      5         26        4         1         7.93           38.32          0.25           0.00           0.00           0.00           0.00           0.00           0.00           0.00           
2016      5         27        5         1         9.69           48.01          0.25           0.00           0.00           0.00           0.00           0.00           0.00           0.00           
2016      5         28        6         1         11.60          59.61          0.25           0.00           0.00           0.00           0.00           0.00           0.00           0.00           
2016      5         29        7         1         14.42          74.03          0.27           0.00           0.00           0.00           0.00           0.00           0.00           0.00           
2016      5         30        8         1         15.40          89.43          0.30           0.00           0.00           0.00           0.00           0.00           0.00           0.00           
2016      5         31        9         1         12.48          101.91         0.32           0.00           0.00           0.14           0.14           0.00           0.00           0.00           
2016      6         1         10        1         10.51          112.42         0.33           0.00           0.00           0.29           0.29           0.00           0.00           0.00           
2016      6         2         11        1         10.18          122.60         0.34           0.00           0.00           0.46           0.46           0.00           0.00           0.00           
2016      6         3         12        1         9.37           131.96         0.35           0.00           0.00           0.65           0.65           0.00           0.00           0.00           
2016      6         4         13        1         10.23          142.19         0.36           0.00           0.00           0.87           0.87           0.00           0.00           0.00           
2016      6         5         14        1         11.52          153.71         0.37           0.01           0.01           1.14           1.14           0.00           0.00           0.00           
2016      6         6         15        1         10.94          164.66         0.38           0.01           0.01           1.44           1.44           0.00           0.00           0.00           
2016      6         7         16        1         11.73          176.39         0.39           0.01           0.01           1.80           1.80           0.00           0.00           0.00           
2016      6         8         17        1         11.62          188.01         0.40           0.01           0.01           2.21           2.21           0.00           0.00           0.00           
2016      6         9         18        1         12.06          200.07         0.41           0.01           0.01           2.71           2.71           0.00           0.00           0.00           
2016      6         10        19        1         12.08          212.14         0.42           0.01           0.01           3.29           3.29           0.00           0.00           0.00           
2016      6         11        20        1         13.40          225.54         0.43           0.01           0.01           3.98           3.98           0.00           0.00           0.00           
2016      6         12        21        1         15.34          240.88         0.45           0.02           0.02           4.81           4.81           0.00           0.00           0.00           
2016      6         13        22        1         11.62          252.51         0.45           0.02           0.02           5.76           5.76           0.00           0.00           0.00           
2016      6         14        23        1         12.04          264.55         0.46           0.02           0.02           6.90           6.90           0.00           0.00           0.00           
2016      6         15        24        1         13.09          277.64         0.47           0.03           0.03           8.24           8.24           0.00           0.00           0.00           
2016      6         16        25        1         16.59          294.22         0.48           0.04           0.04           9.89           9.89           0.00           0.00           0.00           
2016      6         17        26        1         17.22          311.44         0.49           0.04           0.04           11.94          11.94          0.00           0.00           0.00           
2016      6         18        27        1         14.08          325.52         0.50           0.05           0.05           14.40          14.40          0.00           0.00           0.00           
2016      6         19        28        1         10.00          335.52         0.51           0.06           0.06           16.97          16.97          0.00           0.00           0.00           
2016      6         20        29        1         10.21          345.73         0.51           0.07           0.07           19.93          19.93          0.00           0.00           0.00           
2016      6         21        30        1         11.44          357.17         0.52           0.08           0.08           23.46          23.46          0.00           0.00           0.00           
2016      6         22        31        1         14.25          371.42         0.53           0.10           0.10           27.79          27.79          0.00           0.00           0.00           
2016      6         23        32        1         16.40          387.82         0.54           0.12           0.12           33.07          33.07          0.00           0.00           0.00           
2016      6         24        33        1         16.17          403.99         0.55           0.15           0.15           39.48          39.48          0.00           0.00           0.00           
2016      6         25        34        1         16.39          420.38         0.56           0.18           0.18           47.24          47.24          0.00           0.00           0.00           
2016      6         26        35        1         17.34          437.72         0.56           0.23           0.23           56.71          56.71          0.00           0.00           0.00           
2016      6         27        36        1         17.24          454.95         0.57           0.28           0.28           68.16          68.16          0.00           0.00           0.00           
2016      6         28        37        1         15.28          470.23         0.58           0.34           0.34           81.64          81.64          0.00           0.00           0.00           
2016      6         29        38        1         13.46          483.70         0.59           0.41           0.41           97.11          97.11          0.00           0.00           0.00           
2016      6         30        39        1         13.98          497.68         0.59           0.48           0.48           114.64         114.64         0.00           0.00           0.00           
2016      7         1         40        1         15.36          513.04         0.60           0.55           0.55           133.92         133.92         0.00           0.00           0.00           
2016      7         2         41        1         16.16          529.20         0.61           0.61           0.61           154.61         154.61         0.00           0.00           0.00           
2016      7         3         42        1         17.74          546.94         0.62           0.66           0.66           176.46         176.46         0.00           0.00           0.00           
2016      7         4         43        1         16.89          563.83         0.63           0.70           0.70           199.16         199.16         0.00           0.00           0.00           
2016      7         5         44        1         15.88          579.71         0.63           0.73           0.73           222.48         222.48         0.00           0.00           0.00           
2016      7         6         45        1         16.39          596.10         0.64           0.75           0.75           246.31         246.31         0.01           0.01           0.03           
2016      7         7         46        1         15.45          611.55         0.65           0.77           0.77           270.52         270.52         0.02           0.02           0.05           
2016      7         8         47        1         15.83          627.38         0.65           0.79           0.79           295.04         295.04         0.02           0.02           0.06           
2016      7         9         48        1         17.69          645.07         0.66           0.80           0.80           319.85         319.85         0.02           0.02           0.08           
2016      7         10        49        1         17.49          662.56         0.67           0.81           0.81           344.87         344.87         0.03           0.03           0.10           
2016      7         11        50        1         17.42          679.98         0.68           0.82           0.82           370.06         370.06         0.03           0.03           0.12           
2016      7         12        51        1         19.32          699.30         0.68           0.83           0.83           395.41         395.41         0.04           0.04           0.15           
2016      7         13        52        1         20.77          720.07         0.69           0.84           0.84           420.88         420.88         0.05           0.05           0.19           
2016      7         14        53        1         19.17          739.24         0.70           0.84           0.84           446.43         446.43         0.05           0.05           0.24           
2016      7         15        54        1         13.28          752.53         0.70           0.85           0.85           472.06         472.06         0.06           0.06           0.30           
2016      7         16        55        1         10.33          762.86         0.70           0.85           0.85           496.18         496.18         0.07           0.07           0.37           
2016      7         17        56        1         11.58          774.43         0.70           0.85           0.85           521.18         521.18         0.09           0.09           0.45           
2016      7         18        57        1         13.22          787.65         0.70           0.85           0.85           546.90         546.90         0.10           0.10           0.55           
2016      7         19        58        1         14.65          802.30         0.70           0.85           0.85           572.65         572.65         0.12           0.12           0.66           
2016      7         20        59        1         14.78          817.08         0.70           0.85           0.85           598.42         598.42         0.13           0.13           0.79           
2016      7         21        60        1         15.40          832.48         0.70           0.85           0.85           624.21         624.21         0.15           0.15           0.92           
2016      7         22        61        1         17.63          850.11         0.70           0.86           0.86           650.03         650.03         0.16           0.16           1.06           
2016      7         23        62        1         17.15          867.26         0.70           0.86           0.86           675.85         675.85         0.18           0.18           1.21           
2016      7         24        63        1         16.63          883.89         0.70           0.86           0.86           701.69         701.69         0.20           0.20           1.37           
2016      7         25        64        1         15.90          899.79         0.70           0.86           0.86           727.51         727.54         0.21           0.21           1.53           
2016      7         26        65        1         16.14          915.93         0.70           0.86           0.86           753.29         753.39         0.23           0.23           1.71           
2016      7         27        66        1         15.90          931.83         0.70           0.86           0.86           779.05         779.25         0.24           0.24           1.89           
2016      7         28        67        1         16.48          948.31         0.70           0.86           0.86           804.79         805.12         0.26           0.26           2.08           
2016      7         29        68        1         16.08          964.39         0.70           0.85           0.85           830.29         830.62         0.27           0.27           2.28           
2016      7         30        69        1         16.08          980.47         0.70           0.84           0.84           855.27         855.60         0.29           0.29           2.48           
2016      7         31        70        1         17.24          997.70         0.70           0.83           0.83           879.58         879.92         0.31           0.31           2.69           
2016      8         1         71        1         20.11          1017.81        0.70           0.81           0.81           902.94         903.28         0.32           0.32           2.90           
2016      8         2         72        1         16.51          1034.32        0.70           0.79           0.79           925.34         925.67         0.34           0.34           3.12           
2016      8         3         73        1         16.00          1050.33        0.70           0.77           0.77           946.63         946.96         0.35           0.35           3.34           
2016      8         4         74        1         15.26          1065.59        0.70           0.74           0.74           966.66         966.99         0.37           0.37           3.56           
2016      8         5         75        1         17.53          1083.12        0.70           0.70           0.70           984.98         985.31         0.38           0.38           3.79           
2016      8         6         76        1         16.53          1099.65        0.70           0.66           0.66           1001.39        1001.73        0.40           0.40           4.01           
2016      8         7         77        1         13.74          1113.39        0.70           0.61           0.61           1015.97        1016.30        0.42           0.42           4.23           
2016      8         8         78        1         14.89          1128.28        0.70           0.56           0.56           1028.29        1028.62        0.43           0.43           4.44           
