Year      Month     Day       SimDay    Season    0.05m          0.15m          0.25m          0.35m          0.45m          0.55m          0.675m         0.825m         0.975m         1.125m         1.275m         1.45m          
2016      5         23        1         1         0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2016      5         24        2         1         0.31           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2016      5         25        3         1         0.27           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2016      5         26        4         1         0.28           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2016      5         27        5         1         0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2016      5         28        6         1         0.35           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2016      5         29        7         1         0.27           0.31           0.31           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2016      5         30        8         1         0.24           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2016      5         31        9         1         0.25           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2016      6         1         10        1         0.24           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2016      6         2         11        1         0.23           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2016      6         3         12        1         0.21           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2016      6         4         13        1         0.21           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2016      6         5         14        1         0.19           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2016      6         6         15        1         0.21           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2016      6         7         16        1         0.18           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2016      6         8         17        1         0.15           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2016      6         9         18        1         0.14           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2016      6         10        19        1         0.19           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2016      6         11        20        1         0.17           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2016      6         12        21        1         0.16           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2016      6         13        22        1         0.22           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2016      6         14        23        1         0.19           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2016      6         15        24        1         0.17           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2016      6         16        25        1         0.15           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2016      6         17        26        1         0.13           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2016      6         18        27        1         0.12           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2016      6         19        28        1         0.23           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2016      6         20        29        1         0.20           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2016      6         21        30        1         0.17           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2016      6         22        31        1         0.23           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2016      6         23        32        1         0.19           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2016      6         24        33        1         0.15           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2016      6         25        34        1         0.23           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2016      6         26        35        1         0.19           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2016      6         27        36        1         0.14           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2016      6         28        37        1         0.22           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2016      6         29        38        1         0.17           0.29           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2016      6         30        39        1         0.14           0.27           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2016      7         1         40        1         0.18           0.26           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2016      7         2         41        1         0.14           0.24           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
2016      7         3         42        1         0.12           0.21           0.29           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           0.30           
