Year      Month     Day       SimDay    Season    wRZ            zGW            wSurf          Irr            Infl           RO             DP             CR             GWin           Es             EsX            Tr             TrX            
2016      5         23        1         1         75.41          -999.00        0.00           3.00           2.70           0.00           0.00           0.00           0.00           2.29           2.29           0.00           0.00           
2016      5         24        2         1         75.68          -999.00        0.00           2.00           1.90           0.00           0.06           0.00           0.00           1.46           1.46           0.00           0.00           
2016      5         25        3         1         72.52          -999.00        0.00           0.00           0.00           0.00           0.18           0.00           0.00           2.85           3.23           0.00           0.00           
2016      5         26        4         1         73.48          -999.00        0.00           3.00           2.70           0.00           0.20           0.00           0.00           1.61           1.61           0.00           0.00           
2016      5         27        5         1         75.37          -999.00        0.00           4.00           3.60           0.00           0.13           0.00           0.00           1.67           1.67           0.00           0.00           
2016      5         28        6         1         79.62          -999.00        0.00           7.00           6.30           0.00           0.11           0.00           0.00           1.89           1.89           0.00           0.00           
2016      5         29        7         1         79.29          -999.00        0.00           0.00           0.00           0.00           0.83           0.00           0.00           4.40           4.40           0.00           0.00           
2016      5         30        8         1         84.22          -999.00        0.00           0.00           0.00           0.00           1.15           0.00           0.00           3.19           3.88           0.00           0.00           
2016      5         31        9         1         91.63          -999.00        0.00           4.00           3.60           0.00           0.81           0.00           0.00           1.86           1.86           0.03           0.03           
2016      6         1         10        1         93.05          -999.00        0.00           0.00           0.00           0.00           0.39           0.00           0.00           1.46           1.46           0.01           0.01           
2016      6         2         11        1         95.39          -999.00        0.00           0.00           2.30           0.00           0.15           0.00           0.00           2.90           2.92           0.03           0.03           
2016      6         3         12        1         96.11          -999.00        0.00           0.00           0.00           0.00           0.05           0.00           0.00           2.24           2.80           0.03           0.03           
2016      6         4         13        1         99.18          -999.00        0.00           2.00           1.80           0.00           0.02           0.00           0.00           1.69           1.69           0.04           0.04           
2016      6         5         14        1         99.81          -999.00        0.00           0.00           0.00           0.00           0.00           0.00           0.00           2.33           2.75           0.04           0.04           
2016      6         6         15        1         104.70         -999.00        0.00           4.00           3.60           0.00           0.00           0.00           0.00           1.65           1.65           0.05           0.05           
2016      6         7         16        1         104.57         -999.00        0.00           0.00           0.00           0.00           0.00           0.00           0.00           3.07           3.41           0.07           0.07           
2016      6         8         17        1         105.34         -999.00        0.00           0.00           0.00           0.00           0.00           0.00           0.00           2.14           3.60           0.08           0.08           
2016      6         9         18        1         107.49         -999.00        0.00           0.00           0.59           0.00           0.00           0.00           0.00           1.38           2.27           0.06           0.06           
2016      6         10        19        1         114.97         -999.00        0.00           6.00           5.60           0.00           0.00           0.00           0.00           1.05           1.05           0.07           0.07           
2016      6         11        20        1         115.53         -999.00        0.00           0.00           0.10           0.00           0.00           0.00           0.00           2.41           3.29           0.13           0.13           
2016      6         12        21        1         120.61         -999.00        0.00           0.00           1.50           0.00           0.00           0.00           0.00           2.29           2.91           0.14           0.14           
2016      6         13        22        1         127.19         -999.00        0.00           0.00           9.60           0.00           0.00           0.00           0.00           2.87           2.87           0.15           0.15           
2016      6         14        23        1         127.45         -999.00        0.00           0.00           0.30           0.00           0.00           0.00           0.00           2.83           3.24           0.21           0.21           
2016      6         15        24        1         127.92         -999.00        0.00           0.00           0.00           0.00           0.00           0.00           0.00           2.24           3.72           0.28           0.28           
2016      6         16        25        1         128.90         -999.00        0.00           0.00           0.00           0.00           0.00           0.00           0.00           1.67           3.79           0.36           0.36           
2016      6         17        26        1         130.32         -999.00        0.00           0.00           0.00           0.00           0.00           0.00           0.00           1.17           3.41           0.41           0.41           
2016      6         18        27        1         131.84         -999.00        0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.97           3.52           0.51           0.51           
2016      6         19        28        1         146.32         -999.00        0.00           10.00          13.06          0.00           0.00           0.00           0.00           1.37           1.37           0.21           0.21           
2016      6         20        29        1         142.59         -999.00        0.00           0.00           0.00           0.00           0.00           0.00           0.00           3.16           3.16           0.57           0.57           
2016      6         21        30        1         142.88         -999.00        0.00           0.00           0.00           0.00           0.00           0.00           0.00           2.23           2.23           0.49           0.49           
2016      6         22        31        1         152.33         -999.00        0.00           10.00          9.00           0.00           0.00           0.00           0.00           1.64           1.64           0.91           0.91           
2016      6         23        32        1         150.95         -999.00        0.00           0.00           0.00           0.00           0.00           0.00           0.00           3.24           3.24           1.14           1.14           
2016      6         24        33        1         150.11         -999.00        0.00           0.00           0.00           0.00           0.00           0.00           0.00           2.65           2.65           1.19           1.19           
2016      6         25        34        1         160.80         -999.00        0.00           12.00          10.80          0.00           0.00           0.00           0.00           1.44           1.44           1.67           1.67           
2016      6         26        35        1         156.54         -999.00        0.00           0.00           0.00           0.00           0.00           0.00           0.00           2.40           2.40           1.86           1.86           
2016      6         27        36        1         155.19         -999.00        0.00           0.00           0.00           0.00           0.00           0.00           0.00           2.12           2.12           2.23           2.23           
2016      6         28        37        1         165.37         -999.00        0.00           13.00          11.70          0.00           0.00           0.00           0.00           1.18           1.18           3.34           3.34           
2016      6         29        38        1         163.14         -999.00        0.00           0.00           0.00           0.00           0.00           0.00           0.00           1.81           1.81           3.41           3.41           
2016      6         30        39        1         157.96         -999.00        0.00           0.00           0.00           0.00           0.00           0.00           0.00           1.46           1.46           3.73           3.73           
2016      7         1         40        1         163.61         -999.00        0.00           8.00           7.20           0.00           0.00           0.00           0.00           0.58           0.58           3.96           3.96           
2016      7         2         41        1         161.23         -999.00        0.00           0.00           0.00           0.00           0.00           0.00           0.00           1.01           1.01           4.38           4.38           
2016      7         3         42        1         158.50         -999.00        0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.88           0.88           4.85           4.85           
2016      7         4         43        1         168.60         -999.00        0.00           14.00          12.60          0.00           0.00           0.00           0.00           0.38           0.38           5.12           5.12           
2016      7         5         44        1         162.95         -999.00        0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.64           0.64           5.01           5.01           
2016      7         6         45        1         177.93         -999.00        0.00           18.00          16.40          0.00           0.00           0.00           0.00           0.23           0.23           4.18           4.18           
2016      7         7         46        1         175.16         -999.00        0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.52           0.52           5.24           5.24           
